run_id,timestamp_utc,git_commit,params_json,metrics_json,notes
run_664e6a75,2026-09-17T16:02:46.315584,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 5746, ""profit_trades"": 1918, ""loss_trades"": 3828, ""win_rate_pct"": 33.38, ""net_profit"": -881.16, ""gross_profit"": 252855.78, ""gross_loss"": 253736.93, ""profit_factor"": 1.0, ""expected_payoff"": -0.15, ""largest_profit_trade"": 190.0, ""largest_loss_trade"": -100.68, ""average_profit_trade"": 131.83, ""average_loss_trade"": -66.28, ""max_consecutive_wins_count"": 7, ""max_consecutive_losses_count"": 18, ""monte_carlo"": {""p_pass"": 49.99, ""p_fail_max_dd"": 50.01, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 0.0, ""max_dd_mean"": 6.98, ""max_dd_p95"": 10.4, ""avg_days_to_pass"": 69.2}}",Chạy thử nghiệm Momentum gốc
run_8d01c5c5,2026-09-17T16:06:28.092634,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 5746, ""profit_trades"": 1918, ""loss_trades"": 3828, ""win_rate_pct"": 33.38, ""net_profit"": -881.16, ""gross_profit"": 252855.78, ""gross_loss"": 253736.93, ""profit_factor"": 1.0, ""expected_payoff"": -0.15, ""largest_profit_trade"": 190.0, ""largest_loss_trade"": -100.68, ""max_consecutive_wins_count"": 7, ""max_consecutive_losses_count"": 18, ""monte_carlo"": {""p_pass"": 49.99, ""p_fail_max_dd"": 50.01, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 0.0, ""max_dd_mean"": 6.98, ""max_dd_p95"": 10.4, ""avg_days_to_pass"": 69.2}}",Chạy thử nghiệm Momentum gốc
run_d91d842c,2026-09-17T16:08:49.366677,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 5746, ""profit_trades"": 1918, ""loss_trades"": 3828, ""win_rate_pct"": 33.38, ""net_profit"": -881.16, ""gross_profit"": 252855.78, ""gross_loss"": 253736.93, ""profit_factor"": 1.0, ""expected_payoff"": -0.15, ""largest_profit_trade"": 190.0, ""largest_loss_trade"": -100.68, ""max_consecutive_wins_count"": 7, ""max_consecutive_losses_count"": 18, ""monte_carlo"": {""p_pass"": 49.99, ""p_fail_max_dd"": 50.01, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 0.0, ""max_dd_mean"": 6.98, ""max_dd_p95"": 10.4, ""avg_days_to_pass"": 69.2}}",Chạy thử nghiệm Momentum gốc
run_1c27976f,2026-09-17T16:24:01.852398,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 18, ""profit_trades"": 6, ""loss_trades"": 12, ""win_rate_pct"": 33.33, ""net_profit"": -12.0, ""gross_profit"": 588.0, ""gross_loss"": 600.0, ""profit_factor"": 0.98, ""expected_payoff"": -0.67, ""largest_profit_trade"": 102.0, ""largest_loss_trade"": -51.0, ""max_consecutive_wins_count"": 2, ""max_consecutive_losses_count"": 4, ""monte_carlo"": {""p_pass"": 0.12, ""p_fail_max_dd"": 0.0, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 99.88, ""max_dd_mean"": 2.12, ""max_dd_p95"": 5.38, ""avg_days_to_pass"": 5.4}}",Tự động chạy chiến lược simplersi
run_02af8b34,2026-09-17T16:32:00.489093,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 30, ""profit_trades"": 4, ""loss_trades"": 26, ""win_rate_pct"": 13.33, ""net_profit"": -861.0, ""gross_profit"": 390.0, ""gross_loss"": 1251.0, ""profit_factor"": 0.31, ""expected_payoff"": -28.7, ""largest_profit_trade"": 102.0, ""largest_loss_trade"": -51.0, ""max_consecutive_wins_count"": 1, ""max_consecutive_losses_count"": 10, ""monte_carlo"": {""p_pass"": 0.0, ""p_fail_max_dd"": 32.14, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 67.86, ""max_dd_mean"": 8.48, ""max_dd_p95"": 10.43, ""avg_days_to_pass"": 0.0}}",Tự động chạy chiến lược simplersi
run_0f97bcef,2026-09-17T16:36:09.907495,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 42, ""profit_trades"": 8, ""loss_trades"": 34, ""win_rate_pct"": 19.05, ""net_profit"": -865.0, ""gross_profit"": 790.0, ""gross_loss"": 1655.0, ""profit_factor"": 0.48, ""expected_payoff"": -20.6, ""largest_profit_trade"": 100.0, ""largest_loss_trade"": -50.0, ""max_consecutive_wins_count"": 2, ""max_consecutive_losses_count"": 12, ""monte_carlo"": {""p_pass"": 0.0, ""p_fail_max_dd"": 41.31, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 58.69, ""max_dd_mean"": 8.38, ""max_dd_p95"": 10.43, ""avg_days_to_pass"": 0.0}}",Tự động chạy chiến lược momentum
run_a70908ac,2026-09-17T16:37:30.380239,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 51, ""profit_trades"": 11, ""loss_trades"": 40, ""win_rate_pct"": 21.57, ""net_profit"": -867.0, ""gross_profit"": 1086.0, ""gross_loss"": 1953.0, ""profit_factor"": 0.56, ""expected_payoff"": -17.0, ""largest_profit_trade"": 102.0, ""largest_loss_trade"": -51.0, ""max_consecutive_wins_count"": 3, ""max_consecutive_losses_count"": 12, ""monte_carlo"": {""p_pass"": 0.04, ""p_fail_max_dd"": 45.28, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 54.68, ""max_dd_mean"": 8.33, ""max_dd_p95"": 10.42, ""avg_days_to_pass"": 9.0}}",Tự động chạy chiến lược simplersi
run_8d4446bf,2026-09-17T16:40:34.030146,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 9070, ""profit_trades"": 3030, ""loss_trades"": 6040, ""win_rate_pct"": 33.41, ""net_profit"": -871.19, ""gross_profit"": 496028.63, ""gross_loss"": 496899.82, ""profit_factor"": 1.0, ""expected_payoff"": -0.1, ""largest_profit_trade"": 270.0, ""largest_loss_trade"": -140.66, ""max_consecutive_wins_count"": 7, ""max_consecutive_losses_count"": 22, ""monte_carlo"": {""p_pass"": 51.25, ""p_fail_max_dd"": 48.75, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 0.0, ""max_dd_mean"": 6.88, ""max_dd_p95"": 10.4, ""avg_days_to_pass"": 68.3}}",Tự động chạy chiến lược momentum
run_a83f58b6,2026-09-17T16:48:45.217705,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 694, ""profit_trades"": 236, ""loss_trades"": 458, ""win_rate_pct"": 34.01, ""net_profit"": 555.0, ""gross_profit"": 27384.0, ""gross_loss"": 26829.0, ""profit_factor"": 1.02, ""expected_payoff"": 0.8, ""largest_profit_trade"": 132.0, ""largest_loss_trade"": -66.0, ""max_consecutive_wins_count"": 7, ""max_consecutive_losses_count"": 13, ""monte_carlo"": {""p_pass"": 58.0, ""p_fail_max_dd"": 39.73, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 2.27, ""max_dd_mean"": 6.35, ""max_dd_p95"": 10.38, ""avg_days_to_pass"": 62.5}}",Tự động chạy chiến lược simplersi
run_dfa39ef8,2026-09-17T16:53:42.920099,no_git,"{""symbol"": ""XAUUSD"", ""timeframe"": ""M5"", ""sessions"": {""asian"": {""enable"": true, ""start"": ""00:00"", ""end"": ""08:00""}, ""london"": {""enable"": true, ""start"": ""08:00"", ""end"": ""14:30""}, ""new_york"": {""enable"": false, ""start"": ""14:30"", ""end"": ""23:59""}}, ""momentum_params"": {""placeholder_lookback"": 14, ""placeholder_threshold"": 1.5}}","{""total_trades"": 3041, ""profit_trades"": 1013, ""loss_trades"": 2028, ""win_rate_pct"": 33.31, ""net_profit"": -863.75, ""gross_profit"": 158892.15, ""gross_loss"": 159755.9, ""profit_factor"": 0.99, ""expected_payoff"": -0.28, ""largest_profit_trade"": 224.0, ""largest_loss_trade"": -112.0, ""max_consecutive_wins_count"": 6, ""max_consecutive_losses_count"": 20, ""monte_carlo"": {""p_pass"": 48.65, ""p_fail_max_dd"": 51.35, ""p_fail_daily_loss"": 0.0, ""p_timeout"": 0.0, ""max_dd_mean"": 7.03, ""max_dd_p95"": 10.4, ""avg_days_to_pass"": 67.2}}",Tự động chạy chiến lược triplemomentum
